ID,degree_avg,degree_interHemisphere_avg,degree_intraHemisphere_avg,degree_withinModule_avg,degree_betweenModule_avg
0252_2,51.480000,13.520000,37.960000,8.220000,43.260000
0253_1,72.000000,28.860000,43.140000,11.380000,60.620000
0254_1,56.860000,16.140000,40.720000,9.280000,47.580000
0254_2,80.320000,34.380000,45.940000,12.740000,67.580000
0255_1,89.500000,41.340000,48.160000,14.120000,75.380000
0255_2,88.360000,40.360000,48.000000,14.140000,74.220000
0256_1,89.120000,40.460000,48.660000,14.080000,75.040000
0257_1,90.500000,41.800000,48.700000,14.440000,76.060000
0258_1,90.720000,42.040000,48.680000,14.560000,76.160000
0258_2,85.200000,37.840000,47.360000,13.920000,71.280000
0259_1,81.780000,34.080000,47.700000,13.200000,68.580000
0260_1,88.600000,40.820000,47.780000,14.260000,74.340000
0260_2,90.760000,42.660000,48.100000,14.560000,76.200000
0261_1,91.460000,42.800000,48.660000,14.460000,77.000000
